sku_id,url,category,price_inr,review_count,rating,buyer_photos_count,fabric_composition_stated,fabric_composition_verbatim,weight_gsm_stated,weight_gsm_verbatim,flat_measurements_stated,measurements_verbatim,fit_descriptor_verbatim,care_instructions_stated,seller_name,description_word_count,marketing_adjectives_verbatim,falsifiable_facts_count,description_style,v1_verdict,what_tool_could_say,what_tool_cannot_say,notes,brand,product_name,source_url,source_type,scrape_date,url_status,url_domain
SKU01,https://www.nykaafashion.com/u-s-polo-assn-men-white-embroidered-logo-compact-cotton-polo-t-shirt/p/7755296,polo shirt,1599,1,4.5,,Y,2ply compact cotton,N,,N,,Regular,Y,Arvind Lifestyle Brands Limited-parent,50,comfortable; show-stopper; fun,9,mixed,USEFUL,"2ply compact cotton, regular fit, half sleeves and machine wash ? everyday casual polo with a collar-neck construction.","No cotton percentage, garment measurements or fabric weight; thickness, drape and exact fit cannot be quantified.",1 written review; Men > Topwear > Polo T-Shirts. Review count and listing facts verified on the product page.,,,,,,original_pdp_url,nykaafashion.com
SKU02,https://www.nykaafashion.com/tommy-hilfiger-yellow-cotton-half-sleeves-collar-neck-polo-t-shirt/p/24896154,polo shirt,2343,1,4.4,,Y,Cotton,N,,N,,Regular,Y,Pvh Arvind Fashion Private Limited,56,cheerful; classic; timeless; stylish; fresh,10,marketing_led,USEFUL,"Cotton, regular fit, half sleeves, collar neck, button-fly and hand wash ? casual polo with a clearly stated construction.","No cotton percentage, garment measurements or GSM/fabric weight; 'timeless', 'stylish' and similar claims are not measurable.","Luxe-tagged Tommy Hilfiger polo; 1 written review. Long description is mostly lifestyle language, while structured fields carry the checkable facts.",,,,,,original_pdp_url,nykaafashion.com
SKU03,https://www.nykaafashion.com/sanwara-green-stylish-ethnic-chikankari-with-sequins-kurta-for-men/p/16346884,kurta,4749,2,4.5,,Y,Cotton,N,,N,,Regular,Y,Sanwara Fashions,31,Festive-Ready; Exquisite,11,mixed,USEFUL,"Cotton, regular fit, mandarin neck, chikankari work, full sleeves and dry-clean-only care ? festive embroidered kurta.","No fabric weight or garment measurements; softness, comfort and exact fit cannot be quantified from the listing.",2 written reviews; Men > Ethnicwear > Kurtas.,,,,,,original_pdp_url,nykaafashion.com
SKU04,https://www.nykaafashion.com/kraft-india-men-black-chikankari-cotton-kurta/p/13049127,kurta,1408,1,4.2,,Y,Cotton,N,,N,,Regular,Y,Aditya Global Inc,43,stylish,11,mixed,USEFUL,"Cotton, regular fit, mandarin neck, chikankari work, full sleeves and machine wash ? festive embroidered kurta.","No garment measurements or fabric weight; the listing does not quantify fit, thickness or fabric blend percentage.","1 written review; Men > Ethnicwear > Kurtas. The lone review also flags a fit problem, making this useful for the audit.",,,,,,original_pdp_url,nykaafashion.com
SKU05,https://www.nykaafashion.com/club-york-men-grey-full-sleeve-solid-notched-lapel-suit-set-set-of-2/p/16415887,suit set,3000,1,3.4,,Y,High-Quality Cotton,N,,N,,Regular,Y,York Exports Ltd,43,Captivating; High-Quality,13,mixed,USEFUL,"Cotton, regular fit, two-piece set, notch lapel, straight leg, mid-waist trouser and gentle machine wash ? formal suit set.","No blazer/trouser garment measurements, fabric weight or size-specific fit dimensions; 'high-quality' is not measurable from the listing.",1 written review; Men > Topwear > Suits. Product is currently shown sold out on the page.,,,,,,original_pdp_url,nykaafashion.com
SKU06,https://www.nykaafashion.com/snitch-beige-solid-relaxed-casual-track-pants-for-men/p/20961082,bottom wear,1599,1,3.1,,Y,Nylon; durable nylon blend,N,,N,,Relaxed,Y,Snitch Apparels Private Limited_mp,29,durable; stylish; Perfect; ideal,10,mixed,USEFUL,"Nylon, relaxed fit, drawstring closure, straight leg, mid waist and machine wash ? casual track pant with a relaxed silhouette.","No nylon percentage, fabric weight or garment measurements; durability, comfort and flexibility are not quantified.",1 written review; Men > Bottomwear > Trackpants. Review count verified from the Nykaa product listing/review page.,,,,,,original_pdp_url,nykaafashion.com
SKU07,https://www.nykaafashion.com/louis-philippe-men-purple-slim-fit-textured-full-sleeves-formal-shirt/p/16611347,formal shirt,1475,1,4.5,,Y,Cotton,N,,N,,Slim,Y,Westbury Holdings Private Limited_parent,19,Refined Sartorial,11,marketing_led,USEFUL,"Cotton, slim fit, textured pattern, full sleeves, collar neck and machine wash ? formal shirt with a clearly stated construction.",No garment measurements or fabric weight; 'refined sartorial taste' is marketing language rather than a checkable product property.,1 written review; Men > Topwear > Formal Shirts. Description itself is almost entirely title-level language.,,,,,,original_pdp_url,nykaafashion.com
SKU08,https://www.nykaafashion.com/van-heusen-men-cream-slim-fit-solid-full-sleeves-formal-shirt/p/16877281,formal shirt,1265,1,3,,Y,Cotton; high quality cotton,N,,N,,Slim,Y,Westbury Holdings Private Limited_parent,44,chic; high quality; stylish,11,mixed,USEFUL,"Cotton, slim fit, solid pattern, full sleeves, front pocket and machine wash ? conventional formal shirt construction.","No cotton percentage, garment measurements or fabric weight; 'high quality' and 'chic' are not measurable listing facts.",1 written review; Men > Topwear > Formal Shirts. Structured facts materially outperform the short marketing description.,,,,,,original_pdp_url,nykaafashion.com
SKU09,https://www.nykaafashion.com/jockey-lightweight-microfiber-solid-round-neck-t-shirt-green/p/16600010,activewear,799,9,4,,Y,100% Micro Polyester,N,,N,,Regular,Y,Page Industries Ltd_parent,61,Lightweight; Smartfabric; unmatched; StayFresh; StayDry; Breathable; enhanced; elevated; Label Free,12,mixed,USEFUL,"100% micro polyester, regular fit, pull-on closure, half sleeves, gym & training activity and 40°C gentle-wash instructions ? synthetic active T-shirt; mesh and drying claims are explicitly stated.","No actual garment weight, GSM or garment measurements; antimicrobial, drying and cooling performance is claimed but not quantified.",9 written reviews; Men > Active & Sports > T-Shirts & Tanks.,,,,,,original_pdp_url,nykaafashion.com
SKU10,https://www.nykaafashion.com/spykar-black-genuine-leather-belt/p/6580269,bags/accessories,520,1,4.4,,Y,Genuine Leather,N,,N,,,Y,Spykar Lifestyles Private Limited (bhiwandi)_parent,4,,7,spec_led,USEFUL,"Leather, push-pin closure, non-reversible, not water resistant and wipe-clean care ? basic leather belt with clearly stated hardware/care attributes.",No belt length/width or leather grade is stated; durability and exact sizing cannot be inferred.,"1 written review; Men > Personal Accessories > Belts. The description is only the product name, while the structured fields carry the useful specifications.",,,,,,original_pdp_url,nykaafashion.com
